brand,product,description,name,specific,hex,retailer,price_category,lightness
anastasia beverly hills,luminous foundation,355N (medium skin with a neutral golden undertone)  selected,,355N,#A06F4A,both,Mid-Range,117.0
anastasia beverly hills,luminous foundation,100N (very fair skin with a neutral undertone),,100N,#F1E7DB,both,Mid-Range,230.0
anastasia beverly hills,luminous foundation,110C (very fair skin with a cool undertone),,110C,#F0E7DB,both,Mid-Range,230.0
anastasia beverly hills,luminous foundation,120W (very fair skin with a warm undertone),,120W,#EFD0AE,both,Mid-Range,206.0
anastasia beverly hills,luminous foundation,130N (very fair skin with a neutral pink undertone),,130N,#D5C1AA,both,Mid-Range,192.0
anastasia beverly hills,luminous foundation,140N (fair skin with a neutral peach undertone),,140N,#DBC2A9,both,Mid-Range,194.0
anastasia beverly hills,luminous foundation,150W (fair skin with a warm beige undertone),,150W,#EFCDA8,both,Mid-Range,204.0
anastasia beverly hills,luminous foundation,160C (fair skin with a cool golden undertone),,160C,#DEC5A7,both,Mid-Range,194.0
anastasia beverly hills,luminous foundation,200W (light skin with a warm undertone),,200W,#EDCAA1,both,Mid-Range,199.0
anastasia beverly hills,luminous foundation,210N (light skin with a neutral golden undertone),,210N,#E8C9AA,both,Mid-Range,201.0
anastasia beverly hills,luminous foundation,220N (light skin with a neutral peach undertone),,220N,#D5B596,both,Mid-Range,182.0
anastasia beverly hills,luminous foundation,230N (light skin with a pink undertone),,230N,#D5AC87,both,Mid-Range,174.0
anastasia beverly hills,luminous foundation,240N (light skin with a neutral warm undertone),,240N,#DCB087,both,Mid-Range,178.0
anastasia beverly hills,luminous foundation,250C (light skin with a cool golden undertone),,250C,#D5B187,both,Mid-Range,174.0
anastasia beverly hills,luminous foundation,260N (light skin with a neutral undertone),,260N,#D9AD7E,both,Mid-Range,172.0
anastasia beverly hills,luminous foundation,270C (light to medium skin with a cool golden undertone),,270C,#D4AF7D,both,Mid-Range,168.0
anastasia beverly hills,luminous foundation,300C (light to medium skin with a cool golden undertone),,300C,#D1AA79,both,Mid-Range,165.0
anastasia beverly hills,luminous foundation,305N (medium skin with a neutral olive undertone),,305N,#D4AB80,both,Mid-Range,170.0
anastasia beverly hills,luminous foundation,310C (medium skin with a cool olive undertone),,310C,#CB9F6D,both,Mid-Range,156.0
anastasia beverly hills,luminous foundation,315N (medium skin with a neutral beige undertone),,315N,#B99371,both,Mid-Range,149.0
anastasia beverly hills,luminous foundation,320N (medium skin with a neutral pink undertone),,320N,#B88C6A,both,Mid-Range,145.0
anastasia beverly hills,luminous foundation,290C (light to medium skin with a warm golden undertone),,290C,#D2AA72,both,Mid-Range,162.0
anastasia beverly hills,luminous foundation,330W (medium skin with a warm yellow undertone),,330W,#B4845F,both,Mid-Range,138.0
anastasia beverly hills,luminous foundation,332C (medium skin with a cool golden undertone),,332C,#BA915E,both,Mid-Range,140.0
anastasia beverly hills,luminous foundation,335W (medium skin with a warm peach undertone),,335W,#B2815C,both,Mid-Range,135.0
anastasia beverly hills,luminous foundation,340C (medium skin with a cool peach undertone),,340C,#986F50,both,Mid-Range,116.0
anastasia beverly hills,luminous foundation,345C (medium skin with a cool golden peach undertone),,345C,#AF7E57,both,Mid-Range,131.0
anastasia beverly hills,luminous foundation,350C (medium skin with a golden undertone),,350C,#A17153,both,Mid-Range,122.0
anastasia beverly hills,luminous foundation,360C (medium skin with a deep golden undertone),,360C,#A16E46,both,Mid-Range,116.0
anastasia beverly hills,luminous foundation,365C (medium to tan skin with a cool olive undertone),,365C,#9B6B43,both,Mid-Range,111.0
anastasia beverly hills,luminous foundation,370W (medium to tan skin with a warm undertone),,370W,#936038,both,Mid-Range,102.0
